HUANCAVELICA,9,MARISCAL NIETO,MOQUEGUA,SIERRA,41,2,ESPOSO,51,0,0,0,0,0,0,0,0,0,0,1
HUANUCO,10,CANETE,SAN VICENTE,SIERRA,26,2,CONVIVIENTE,28,1,1,0,0,0,0,0,1,0,0,1
HUANUCO,10,HUANCAVELICA,VILCA,SIERRA,32,0,PROGENITOR DE SU HIJO,48,1,1,0,0,0,0,0,0,0,1,0
HUANUCO,10,HUANCAVELICA,VILCA,SIERRA,24,0,OTRO FAMILIAR,48,1,1,0,0,0,0,0,0,0,1,0
HUANUCO,10,HUAYTARA,PILPICHACA,SIERRA,30,2,VECINO,30,1,1,0,1,0,0,0,0,0,0,0
HUANUCO,10,NASCA,VISTA ALEGRE,SIERRA,27,1,EX ENAMORADO,27,0,0,0,0,1,0,0,0,0,0,0
HUANUCO,10,PISCO,SAN ANDRES,SIERRA,31,2,CONVIVIENTE,35,0,1,0,0,0,0,0,1,0,0,1
HUANUCO,10,SATIPO,RIO TAMBO,SIERRA,30,3,CONVIVIENTE,31,0,1,0,0,1,0,0,0,0,0,0
HUANUCO,10,YAROWILCA,APARICIO POMARES,SIERRA,66,0,VECINO,25,1,1,0,1,0,0,0,1,0,0,0
ICA,11,CALLAO,CALLAO,COSTA,38,3,ESPOSO,43,0,1,0,0,1,0,0,0,0,0,0
ICA,11,HUANCANE,COJATA,COSTA,69,0,VECINO,23,0,0,0,0,0,0,0,1,0,0,0
ICA,11,LA CONVENCION,VILCABAMBA,COSTA,32,2,OTRO FAMILIAR,31,0,1,0,0,0,0,0,1,0,0,0
ICA,11,LIMA,SAN JUAN DE LURIGANCHO,COSTA,35,3,OTRO FAMILIAR,42,0,1,0,0,0,0,0,0,1,0,0
ICA,11,MOHO,HUAYRAPATA,COSTA,27,2,CONVIVIENTE,37,1,1,0,0,0,0,0,0,0,0,1
JUNIN,12,ANDAHUAYLAS,ANDAHUAYLAS,SELVA,11,0,DESCONOCIDO,21,0,1,1,1,0,0,0,0,0,0,0
JUNIN,12,ATALAYA,RAYMONDI,SELVA,44,0,CONVIVIENTE,49,0,0,0,0,1,0,0,0,0,0,0
